image_name,instruction
image_0059.png,A magical forge powered by a trapped bolt of lightning.
image_0060.png,A hidden valley where dinosaurs with feathers of iridescent plumage still roam.
image_0061.png,A sentient mountain that speaks in the rumbling of avalanches.
image_0062.png,"A ship sailing on a sea of liquid time, its crew aging at different rates."
image_0063.png,"An oracle whose eyes are swirling galaxies, foretelling cosmic events."
image_0064.png,"A city built within the hollowed-out shell of a gargantuan, ancient dragon."
image_0065.png,"A forest where the trees bleed shimmering, silver sap."
image_0066.png,A golem constructed from forgotten books and ancient scrolls.
image_0067.png,A celestial dragon consuming a black hole.
image_0068.png,"A musician playing a flute carved from a unicorn's horn, its music healing the land."
image_0069.png,A floating market where traders arrive on flying carpets and tamed griffins.
image_0070.png,"A warrior whose symbiotic armor is a living, metallic creature."
image_0071.png,A gateway to the underworld guarded by a three-headed wolf made of shadow and flame.
image_0072.png,A city where the architecture is inspired by the anatomy of giant insects.
image_0073.png,"A child befriending their own shadow, which has become sentient and mischievous."
image_0074.png,"An ancient, moss-covered robot fishing in a river of lava."
image_0075.png,"A landscape where the ground is a rippling, reflective liquid mirror."
image_0076.png,A witch living in a house that walks on giant chicken legs.
image_0077.png,A battle between an army of fire elementals and an army of ice giants.
image_0078.png,"A giant, cosmic hand reaching down from the clouds to tend to the world."
image_0079.png,"A city powered by a captured, miniature sun encased in an orrery."
image_0080.png,"A creature with the body of a panther and a mane made of living, writhing snakes."
image_0081.png,A hidden waterfall whose water grants temporary superpowers.
image_0082.png,"A wizard painting a landscape, and the painting is coming to life as he works."
image_0083.png,A civilization living on floating islands of rock connected by bridges of pure light.
image_0084.png,"A giant, sentient crystal that is the collective consciousness of an entire race."
image_0085.png,"A knight with a sword that can cut through reality itself, opening small rifts."
image_0086.png,"A luminous, spectral stag guiding lost souls through a misty forest."
image_0087.png,"An alchemist turning lead into a flock of tiny, golden birds."
image_0088.png,"A city built on a series of giant, interconnected lily pads in a vast swamp."
image_0089.png,A celestial sphinx whose riddles can alter the fabric of time.
image_0090.png,"A deep-sea diver discovering a city of light populated by angelic, aquatic beings."
image_0091.png,"A warrior wearing armor forged from the scales of a sea serpent, shimmering and wet."
image_0092.png,"A tree that grows different, exotic fruits every hour, each with a unique magical property."
image_0093.png,"A colossal, abandoned clock tower that chimes once every century, warping reality for a moment."
image_0094.png,A dream-weaver catching nightmares in a web of silver thread.
image_0095.png,A landscape where mountains are made of candy and rivers flow with chocolate.
image_0096.png,"A mechanical centaur, half-robot, half-horse, galloping across a digital plain."
image_0097.png,A garden where the flowers bloom with light instead of petals.
image_0098.png,"A lone figure standing on the edge of a cliff, watching two moons collide in the sky."
image_0099.png,"The interior of a Dyson sphere, with a civilization living on its inner surface, illuminated by a central star."
